"","Adipose tissues","Adrenal glands","B-cells","Brain","Colon","Esophagus","Heart","Liver","Lung","Neutrophils","Pancreas","Small intestines","T-cells","Placenta"
"H20",0.0706043860091477,0.0959777444710705,0.00022076238433913,0,0.0616105960213484,0.132362805175827,0.0258551552032439,0.00225468747293563,0.0360106863184967,0.351952509550874,0.0842793989363277,0,0.13887126845639,0
"P01",0.170799704864343,0.0127832417304773,0.0382129759222478,0.0224404810881154,0,0,0.0357558025596591,0.0157911621936855,0.164403572073388,0.378096128117467,0,0.139293943117471,0.000936852779298835,0.0214861355538472
"P02",0.104855646614492,0.0012855116499373,0.0152228555622907,0.0410694683543086,0.039703462224263,0.0262096215879472,0.0254986290896868,0.074908687723901,0.0533714326648759,0.481272940625462,0.0262806177511234,0.095072626233612,0,0.0152484999181006
"P03",0,0.0229040822230784,0.0551372236264648,0,0,0,0,0.0910376042484485,0.170568995139226,0.432303524441135,0.0474467154047147,0.14303815887971,0.0375636960372224,0
"P04",0,0.0151456038529524,0.00331293731857128,0,0.0221489941268328,0,0.00899682575869175,0.877417453964808,0,0.0186659907100366,0,0.0171554588430299,0.0188467213214837,0.0183100141035938
"P05",0.0770407633836719,0.00370146222268252,0.0146305598310333,0.0325521069659912,0.0289878187130261,0.0527004765696674,0.0788929079696201,0.237077733928499,0.0309582959579441,0.31386910156521,0.0491716904008872,0.0225086844249376,0.0579083980668298,0
"P06",0.0572947281478164,0.053727765078169,0.0393341782316652,0.0121373971047102,0.00660274232132804,0.0837577527739238,0.0119358580100023,0.0478813504351619,0.214910004095413,0.379353672574463,0.00036812895955935,0.0794338986905553,0,0.0132625235772322
"P07",0.0807696865316674,0.000233380123630933,0.0286628090547286,0.0331692828658087,0.207852610408879,0.0259774208951171,0,0.185997471538385,0.147608236752979,0.104724438422922,0.024245731656919,0.0824272925399054,0,0.0783316392090568
"P08",0.148575076179293,0.0275419280274867,0.0126451507598899,0.0158071986351847,0.00255250504526074,0,0.00259671377170431,0.237713474396507,0.00688642776140544,0.407041642556364,0.0609353944970503,0,0.0777044883698537,0
"P09",0,0.0509306360401115,0.0394823492343673,0.0171958500590293,0.0263819261861719,0.0804161270047112,0.00765231758016016,0.20101912255189,0.0771547275080242,0.361250678014286,0.0357359705223721,0.0699360828731182,0.0328442124257575,0
"P10",0,0.068859127195348,0.0637994818962776,0,0,0.0574856426926237,0.0938557550582097,0.0463580294502583,0.069441447381005,0.31956317359236,0.023959177641936,0.221108388498412,0.0355697765935703,0
"P11",0.0761128278863471,0.0140936219106982,0.0688117484957446,0.0138985725884632,0.0112788199009556,0.00914312225189155,0,0.0679594662794372,0.114004289843044,0.439549538346757,0.0275910900710485,0.042902708888751,0.111291941229192,0.00336225230766998
"P12",0.0981926290763463,0,0.000181926568872833,0,0.0110383805301011,0.0609377900693107,0.0249866303824896,0.0346615007964246,0.101711606533343,0.478513547547953,0.0151757417695099,0.160149733955829,0.0144505127698205,0
"P13",0.0871238651650411,0.0216224579716446,0.0568020461816223,0.0244647047030141,0.0214851020767073,0.0434650925536226,0.0488390138952712,0.0732229567749006,0.218270519677821,0.211073068209708,0.0246702289943615,0.133945248010071,0.0350156957862147,0
"P14",0.0292611438691553,0.0379611359311933,0.0638774200828861,0.00635121890022475,0.0266974022433679,0.0604555423481438,0.0627854024275844,0.105677225621993,0.064132817623437,0.425098818993391,0,0.0653242996061846,0.0523775723524389,0
"P15",0.101934611931483,0.0262944599866672,0.0780980433680769,0.0129353998185841,0.0484064687350256,0.0250139541338761,0,0.104207562944146,0.148476488162489,0.366016656866295,0.00837652563699683,0.018719881752553,0.061519946663807,0
"P16",0.0881970413749614,0.0147272849051157,0.0730950981585708,0.0174314088703926,0.0234845567347704,0.0294942612386745,0.0288393546996824,0.0573182046922402,0.120465140057834,0.435921471805923,0,0.0661798288073271,0.0448463486545076,0
